title,certificate,duration,genre,rating,stars,votes
True Story,TV-MA,260,"Crime, Drama, Thriller",7.4,7,18325
La jefa,TV-MA,109,Drama,4.7,10,1028
The Vault,R,118,"Action, Adventure, Thriller",6.4,10,25121
Pieces of a Woman,R,126,Drama,7.0,10,49524
Nashville,TV-PG,43,"Drama, Music, Romance",7.7,7,25744
Footloose,PG,107,"Drama, Music, Romance",6.6,10,80905
Gerald's Game,TV-MA,103,"Drama, Horror, Thriller",6.5,10,108970
Charlie's Angels,PG-13,118,"Action, Adventure, Comedy",4.9,10,73202
Sense8,TV-MA,60,"Drama, Mystery, Sci-Fi",8.2,7,153913
Travelers,TV-MA,45,"Drama, Mystery, Sci-Fi",8.0,7,56239
The Lost Daughter,R,121,Drama,6.7,10,62800
Miraculous: Tales of Ladybug & Cat Noir,TV-Y7,20,"Animation, Action, Adventure",7.6,7,11332
Texas Chainsaw Massacre,R,81,"Crime, Horror, Thriller",4.8,10,50801
Senior Year,R,111,Comedy,5.5,10,36521
"Bastard!! Heavy Metal, Dark Fantasy",TV-MA,25,"Animation, Action, Adventure",6.6,7,1364
Castlevania,TV-MA,23,"Animation, Action, Adventure",8.3,7,64403
Step Brothers,R,98,Comedy,6.9,10,294349
Castle Rock,TV-MA,60,"Drama, Fantasy, Horror",7.5,7,45696
